Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Purchase Date,Ship Date,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Discount Amount,Cost Price,Sale Price
Africa,Nigeria,Kogi,Western International PCs,4,Apple,Apple Lisa,SSD,4GB,500GB,Brian,Daniels,001-291-442-7960,davidwilliams@example.com,Jennifer Wolf,Returns,Finance,44278,44287,Online,High,0,167,27925,39447,453,918,27354,29508
Africa,Ghana,Ashanti,Frankies Hardware and Software,2,HP,Stream,HDD,2GB,1TB,William,Ramirez,(689)699-4140x975,donna55@example.com,Kevin Lee,Repairs,Cash,44887,N/A,Offline,Medium,3234,679,8805,0,594,399,5704,9003
North America,Pennsylvania,Lancaster,Benjis Tech,1,HP,Spectre,HDD,2GB,256GB,Michael,Marshall,(295)870-1531,ohoward@example.net,Leah Watts,New Sales,Finance,44471,44478,Online,Medium,0,477,26546,30083,480,509,26024,28065
Africa,Nigeria,Ondo,S & A Computer Place,3,Microsoft,Surface Go,HDD,8GB,256GB,Tiffany,Hill,001-217-348-5741x32365,dana14@example.org,Brian Gonzales,New Sales,Finance,44873,44877,Online,Low,0,162,28332,44832,569,786,26767,28942
Africa,South Africa,Free State,ABC Computers,9,Asus,ROG Zephyrus S GX701,HDD,8GB,256GB,Bradley,Ibarra,(403)142-7325,vramos@example.org,Mrs. Barbara Davenport,Returns,Cash,44782,44796,Online,Medium,0,707,19207,0,549,294,17219,20754
Africa,Ghana,Upper West,ABC Computers,10,Apple,Apple MacBook Air,HDD,2GB,1TB,Michael,Walker,001-226-569-8856x5630,pramsey@example.org,Diana Ashley MD,Returns,Cash,44324,N/A,Offline,Low,0,677,3238,0,674,276,3090,5606
North America,Florida,Palm Bay,Greens Laptops and PCs,3,Dell,Latitude,HDD,4GB,256GB,Andrea,Phillips,+1-591-734-4341x2336,nrussell@example.net,Jordan Jensen,Second-hand Sales,Finance,44406,44431,Online,Low,0,181,14540,47035,765,16,12805,16059
Africa,Ethiopia,Harari,KyaSand Tech Gadgets,8,Microsoft,Surface Laptop,HDD,8GB,1TB,Deanna,Daniels,809-601-7227,linda19@example.net,Joseph Good,Second-hand Sales,Cash,44548,44566,Online,Low,0,564,17704,0,461,804,17419,19551
North America,California,Fremont,DEF Machines,3,Microsoft,Surface Hub,HDD,16GB,500GB,Darrell,Schultz,959-713-7590x8039,sandralopez@example.org,Joe Black,Repairs,Finance,44872,44883,Online,Low,1187,243,13695,10915,842,513,10661,14136
North America,Illinois,Decatur,KyaSand Tech Gadgets,1,Apple,Apple Mac Pro,HDD,2GB,500GB,Lori,Schultz,(696)647-6921x193,burtonphilip@example.org,Ashley Jones,New Sales,Bank Transfer,44874,N/A,Offline,High,0,249,24964,0,535,19,23821,27212
North America,New York,Glen Cove,GH PC Shop,10,Acer,Spin 5,SSD,4GB,256GB,Samantha,Henderson,+1-295-501-6524x57203,wperry@example.net,Victoria Hodges,New Sales,Finance,45082,45108,Online,Medium,0,536,6297,9687,608,646,3458,7702
Africa,South Africa,Free State,Jacks Hardware,8,Toshiba,Satellite,SSD,16GB,256GB,Christopher,Wallace,001-247-117-1327,davislisa@example.net,Pamela Zavala,New Sales,Bank Transfer,44593,N/A,Offline,High,0,783,17784,0,807,282,14079,18541
North America,Texas,Dallas,KyaSand Tech Gadgets,4,HP,Envy,SSD,16GB,1TB,Shawn,Robbins,884.601.6289x901,unewman@example.com,Courtney Morgan,Repairs,Finance,44930,44945,Online,Medium,2260,865,19095,18048,526,395,16124,19915
North America,Ohio,Reynoldsburg,Jacks Hardware,1,Apple,Apple Macintosh SE,SSD,4GB,1TB,Kathleen,Thomas,882.080.6917x13130,bholland@example.net,Max Mccann,Second-hand Sales,Cash,44828,44844,Online,Medium,0,748,20166,0,828,484,18489,21383
Africa,Ethiopia,Benishangul-Gumuz,Frankies Hardware and Software,1,MSI,GE76 Raider,HDD,8GB,500GB,William,Clements,104.169.2319,nsantos@example.org,Samuel Hurst,Repairs,Finance,44954,N/A,Offline,High,4521,561,6319,40295,522,629,6316,9528
Africa,Kenya,Isiolo,Mini Tech,2,HP,Probook,SSD,16GB,1TB,Andrew,Fletcher,596-672-6029x62521,sandra28@example.net,Cassandra Mcmillan,Second-hand Sales,Finance,44902,44928,Online,Medium,0,847,30461,3845,694,891,28976,32205
Africa,Kenya,Nairobi,Frankies Hardware and Software,8,Apple,Apple Macintosh SE,SSD,8GB,1TB,Aaron,Johnson,6278011702,matthewjohnson@example.com,Jeffrey Cook,Returns,Finance,45131,N/A,Offline,High,0,335,7907,48725,682,804,7175,9624
Africa,Egypt,Ismailia,Mini Tech,6,HP,Pavilion,HDD,16GB,1TB,Lisa,Pacheco,856.595.3870x4577,saravargas@example.org,Kelly Christian,Second-hand Sales,Bank Transfer,44668,44669,Online,Low,0,494,9975,0,680,307,9898,12321
Africa,Ethiopia,Somali,Frankies Hardware and Software,6,HP,Spectre,HDD,16GB,500GB,Casey,Ferguson,370-136-0435x406,holly01@example.org,Jacob Spencer,New Sales,Bank Transfer,44535,N/A,Offline,Low,0,617,9040,0,471,808,8117,10375
North America,Texas,Austin,GH PC Shop,5,Microsoft,Surface Go,HDD,2GB,1TB,James,Martinez,565.916.8881,yking@example.net,Lauren Morales,Repairs,Finance,45027,45055,Online,Low,2277,248,12515,44007,406,31,9633,12675
North America,Florida,Lakeland,ABC Computers,5,Apple,Apple Mac Pro,SSD,16GB,500GB,Donna,Baldwin,(789)025-5921,brendacabrera@example.org,Tanya Mcclure,Second-hand Sales,Bank Transfer,44873,N/A,Offline,Medium,0,378,28129,0,427,894,27345,31238
Africa,Nigeria,Imo,LJ Computers,2,Lenovo,ThinkCentre M920 Tiny,HDD,16GB,1TB,James,Schroeder,275.506.4820x64220,johnmorris@example.org,Brian Gonzales,Returns,Cash,44430,44446,Online,Low,0,298,27926,0,420,974,26406,29706
Africa,Angola,Namibe,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,SSD,4GB,1TB,Janice,Howard,493.959.1059,misty32@example.org,James Thornton,Returns,Finance,44279,N/A,Offline,Medium,0,846,15008,11750,790,56,13063,17813
North America,Ohio,Strongsville,Jacks Hardware,6,Asus,ZenBook Flip S UX371,HDD,8GB,1TB,Cody,Estrada,490.303.7231x596,gregory30@example.com,Erin Tucker,Second-hand Sales,Finance,44344,N/A,Offline,High,0,161,9054,11885,472,586,8582,13016
North America,Pennsylvania,Reading,Jacks Hardware,2,Samsung,Notebook 9 Pro,HDD,16GB,1TB,Andrew,Vargas,1019621904,bailey50@example.net,Julia Dodson,New Sales,Cash,44820,44837,Online,Medium,0,249,10442,0,674,478,6826,11074
Africa,Ghana,Upper East,Western International PCs,5,Toshiba,Qosmio,SSD,16GB,500GB,Daniel,Edwards,-3339,marygarcia@example.com,George Morales,New Sales,Finance,44903,N/A,Offline,Medium,0,797,22289,30628,676,366,20933,25594
Africa,Tanzania,Geita,CK Tech Store,3,Toshiba,Libretto,SSD,8GB,500GB,Sheryl,Mccormick,+1-669-268-6917x60036,rachel81@example.com,Tara Price,Repairs,Cash,44914,N/A,Offline,High,4737,651,24606,0,806,546,23661,25779
Africa,South Africa,Eastern Cape,XYZ Tech,5,Apple,Apple Mac Pro,HDD,4GB,1TB,Kelsey,Walker,459.386.5208,kevinlane@example.com,Mary Nelson,Returns,Bank Transfer,44986,45016,Online,High,0,358,13051,0,790,607,11819,16447
Africa,Angola,Malanje,ABC Computers,6,Lenovo,ThinkPad T14,SSD,8GB,500GB,Michelle,Suarez,620.978.3192,amandaharper@example.net,James Thornton,Second-hand Sales,Finance,45044,N/A,Offline,Medium,0,122,31371,42772,823,762,28797,33509
Africa,Nigeria,Akwa Ibom,LJ Computers,8,Samsung,Notebook 5,SSD,16GB,1TB,David,Martin,001-903-482-2521x3007,charles54@example.net,Brian Gonzales,Second-hand Sales,Finance,45119,N/A,Offline,High,0,862,3747,40219,830,158,3097,6110
Africa,Angola,Cabinda,Western International PCs,3,Dell,Latitude,SSD,8GB,1TB,Veronica,Thomas,633.309.1402,jillbarton@example.net,Ruben Snow,Returns,Finance,44986,44999,Online,High,0,786,20005,31400,411,227,16707,21606
North America,Illinois,Peoria,CK Tech Store,5,Microsoft,Surface Go,SSD,2GB,1TB,Kenneth,Chandler,+1-459-537-2071x9901,mariagrimes@example.org,Jeremy Thomas,Returns,Finance,44332,44356,Online,Medium,0,962,31536,6018,733,421,28120,32779
Africa,Kenya,Tana River,Frankies Hardware and Software,4,Asus,VivoBook S14,HDD,8GB,500GB,Jamie,Hill,+1-286-676-1882x2022,whurst@example.net,Danielle Cole,New Sales,Bank Transfer,45167,45185,Online,High,0,757,20874,0,493,872,20056,24038
North America,Ohio,Lakewood,Greens Laptops and PCs,8,Asus,TUF Gaming A15,SSD,2GB,500GB,Amy,Brown,(570)135-5149x61529,ngreen@example.com,Eric James,Repairs,Bank Transfer,44886,44891,Online,Low,3917,912,13038,0,532,675,11063,13417
Africa,Morocco,Guelmim-Oued Noun,XYZ Tech,1,Microsoft,Surface Book,SSD,8GB,1TB,Sandra,Holland,1669409439,lisareyes@example.org,Gwendolyn Thomas,Second-hand Sales,Cash,45025,45043,Online,High,0,563,18545,0,800,22,16593,20343
Africa,Ghana,Upper East,GHI Machines,6,Lenovo,ThinkPad X13 Yoga,SSD,4GB,1TB,Alexandria,Davis,+1-856-211-2287x31936,wattsshawna@example.net,Krista Wu,New Sales,Bank Transfer,44438,N/A,Offline,High,0,245,19736,0,454,685,16890,21168
Africa,Kenya,Isiolo,LJ Computers,6,HP,Chromebook,HDD,16GB,500GB,Sabrina,Cook,785.408.5250,allenemily@example.org,Tonya Nolan,Repairs,Cash,44931,44961,Online,Medium,2622,429,7289,0,803,969,5359,8996
North America,New York,Freeport,Western International PCs,1,Acer,Predator Helios 300,SSD,4GB,500GB,Drew,Fisher,646-180-3012x892,welchjasmine@example.com,Kelsey Olson,Returns,Bank Transfer,45295,N/A,Offline,Medium,0,911,26952,0,646,129,24380,27228
Africa,Angola,Huambo,Greens Laptops and PCs,3,HP,Omen,SSD,2GB,256GB,Mary,Trujillo,001-417-539-3195x894,david69@example.org,Brian Clarke,Returns,Bank Transfer,44985,N/A,Offline,Low,0,954,19687,0,594,399,16678,20280
North America,Illinois,Palatine,Western International PCs,1,MSI,P65 Creator,SSD,16GB,1TB,Amanda,Jenkins,(810)195-3275,tasha59@example.net,Curtis Tucker,Returns,Cash,45358,45374,Online,Low,0,95,19556,0,502,307,16125,20478
North America,Illinois,Bloomington,ABC Computers,1,MSI,GP76 Leopard,SSD,4GB,1TB,Andrew,Jackson,053-193-9207x009,collinslisa@example.org,Katie Fernandez,Second-hand Sales,Cash,44955,N/A,Offline,Medium,0,299,26577,0,821,980,23772,27074
Africa,Nigeria,Cross River,A & A PCs,5,Asus,ROG Zephyrus S GX701,HDD,16GB,500GB,Keith,Flores,023.344.5023x48767,donaldhamilton@example.com,Mary Shaw,New Sales,Bank Transfer,44768,N/A,Offline,Low,0,462,27695,0,421,737,27393,30542
North America,California,Riverside,Benjis Tech,3,Acer,Aspire 7,HDD,16GB,256GB,Justin,Braun,860-458-6466x6291,tsimpson@example.com,Amber Montgomery,Repairs,Bank Transfer,44605,N/A,Offline,High,2817,468,8694,0,550,811,5628,10561
Africa,Angola,Bie,Benjis Tech,3,Samsung,Notebook 9 Pro,HDD,16GB,256GB,Edward,Cortez,023.113.2336,freemanjustin@example.com,Ruben Snow,Returns,Cash,45214,45219,Online,High,0,262,24486,0,495,921,21547,24795
North America,Florida,Deltona,CK Tech Store,5,Apple,Apple PowerBook G4,SSD,4GB,1TB,Lisa,Boone,662-593-0291x90900,dnorris@example.net,Tanya Mcclure,Repairs,Cash,45112,N/A,Offline,Medium,4453,976,18435,0,685,802,15488,19705
Africa,Ghana,Eastern,Frankies Hardware and Software,6,Apple,Apple Power Mac G5,SSD,2GB,500GB,Terri,Cortez,638-669-4668,johnathan98@example.com,Amanda Hurley,Second-hand Sales,Bank Transfer,44419,N/A,Offline,Medium,0,848,8754,0,810,640,7042,9799
North America,New York,Hempstead,ABC Computers,2,Asus,ROG Zephyrus S GX701,HDD,8GB,1TB,Alexander,Smith,(083)975-2771x124,michael97@example.org,Sean Guerrero,Repairs,Bank Transfer,44424,N/A,Offline,High,4615,173,30794,0,825,144,29177,31341
Africa,Morocco,Marrakesh-Safi,Frankies Hardware and Software,10,Samsung,Galaxy Chromebook 2,SSD,8GB,256GB,Vicki,Lawrence,+1-207-834-1592x081,whitecheryl@example.org,Amy Owens,Second-hand Sales,Cash,45174,45179,Online,Low,0,123,27885,0,404,135,25283,29022
North America,North Carolina,High Point,Frankies Hardware and Software,8,Acer,Chromebook Spin 311,HDD,16GB,256GB,Alejandro,Reyes,(969)885-5428x021,sgreene@example.com,Morgan Moore,Repairs,Finance,44689,44694,Online,Low,4098,115,16080,1540,464,686,13838,17449
North America,California,Fremont,GHI Machines,5,Samsung,Notebook 9 Pen,SSD,8GB,1TB,Carol,Dixon,+1-026-272-5985x775,fhernandez@example.net,Larry Smith,New Sales,Cash,44989,45017,Online,Medium,0,416,24755,0,563,134,23259,27804
Africa,Morocco,Guelmim-Oued Noun,Benjis Tech,5,HP,ZBook,SSD,8GB,256GB,Michelle,Williams,001-539-563-7452x5679,fishernathan@example.net,Emma Scott,Repairs,Finance,45038,N/A,Offline,Low,2691,482,6619,48061,818,142,4446,8080
North America,North Carolina,New Bern,Ricks Computers,10,Acer,Chromebook Spin 311,HDD,16GB,500GB,Gregory,Smith,+1-692-079-0526x829,mmorales@example.com,Catherine Cuevas,Repairs,Bank Transfer,45080,N/A,Offline,High,3395,203,7036,0,694,723,5007,9855
Africa,Angola,Lunda Norte,Jacks Hardware,8,Microsoft,Surface Hub,HDD,8GB,1TB,Chelsea,Merritt,741.339.1455,aflores@example.net,Lori Anderson,Repairs,Bank Transfer,44530,N/A,Offline,High,4721,684,27250,0,611,452,25901,28010
North America,Georgia,Dalton,S & A Computer Place,5,HP,Elitebook,SSD,2GB,1TB,Adrian,White,001-770-501-2215x4736,carloskidd@example.org,Rebecca Brown,Repairs,Finance,45127,45132,Online,High,3672,572,8207,39578,532,956,6137,9679
North America,Georgia,Dunwoody,Frankies Hardware and Software,6,Dell,XPS,HDD,8GB,1TB,Francisco,Morgan,641-591-8256x50399,etaylor@example.com,Jacqueline Rice,New Sales,Finance,45315,45345,Online,Low,0,711,25587,13951,762,737,22477,26639
North America,California,Moreno Valley,Ricks Computers,9,Toshiba,Satellite,HDD,16GB,256GB,Brandy,Stewart,+1-383-168-8912x2850,angelaclark@example.net,Joy Holt,Returns,Cash,45323,N/A,Offline,Medium,0,183,31537,0,434,666,28687,32290
Africa,Morocco,Nouaceur,Ricks Computers,10,Samsung,Notebook 7 Spin,SSD,8GB,500GB,John,Moore,862-457-4257,roger56@example.com,Jessica Thomas,New Sales,Finance,45181,N/A,Offline,Medium,0,297,29244,40325,627,452,27377,31928
North America,Florida,Pompano Beach,Jacks Hardware,2,Toshiba,Chromebook,SSD,16GB,1TB,Amanda,Fox,001-020-516-5380x42244,thomasdavenport@example.net,Mary Kidd,Second-hand Sales,Finance,44346,44351,Online,Medium,0,955,22572,31749,747,937,19683,23232
Africa,Ethiopia,Afar,S & A Computer Place,2,Dell,OptiPlex,SSD,16GB,1TB,Erika,Martinez,001-420-715-2755x86880,kfoster@example.org,Jacob Spencer,New Sales,Cash,44844,44867,Online,Medium,0,592,9330,0,582,37,8745,12336
Africa,Egypt,Minya,Western International PCs,1,Lenovo,IdeaPad Flex 5,SSD,2GB,1TB,Donald,Cruz,8110096743,jeffersonkelly@example.net,Michael Gibson,Second-hand Sales,Bank Transfer,44601,44620,Online,High,0,795,5908,0,569,638,3107,6473
North America,Ohio,Westerville,GH PC Shop,5,HP,Chromebook,SSD,2GB,256GB,Carla,Campos,894.960.4140x56247,angelamorgan@example.com,Jason Gentry,Second-hand Sales,Bank Transfer,45058,N/A,Offline,High,0,819,5866,0,686,161,4303,6378
Africa,Egypt,Giza,Western International PCs,10,Microsoft,Surface Book,HDD,16GB,256GB,Karen,Combs,063.367.7179x486,christine01@example.org,Jacob Hudson,New Sales,Bank Transfer,44766,44771,Online,Medium,0,870,12338,0,462,739,11441,14147
North America,Illinois,Tinley Park,XYZ Tech,5,Samsung,Notebook Odyssey,SSD,2GB,256GB,Heather,Leonard,847636074,martinezlance@example.com,Daniel Serrano,Repairs,Finance,44869,N/A,Offline,Low,2524,278,18787,21526,709,586,15785,20624
North America,Texas,McKinney,XYZ Tech,5,HP,Elitebook,HDD,16GB,256GB,Michael,Salazar,341.627.5279x32348,owhite@example.org,Melanie Taylor,Second-hand Sales,Cash,45128,45129,Online,Medium,0,186,17849,0,820,366,17746,22155
Africa,South Africa,North West,Ricks Computers,3,Dell,Chromebook,SSD,8GB,256GB,Neil,Miranda,-3190,vgreen@example.org,Mark Landry,Second-hand Sales,Cash,45146,N/A,Offline,Low,0,350,18399,0,457,819,16073,20378
Africa,Morocco,Essaouira,GH PC Shop,9,Asus,ZenBook UX425,SSD,2GB,1TB,Craig,Miller,779-441-1680x992,ubrown@example.com,Emma Scott,Repairs,Finance,44836,44844,Online,High,3820,122,5764,38907,599,544,3467,8221
North America,Texas,Garland,S & A Computer Place,2,Microsoft,Surface Book,SSD,2GB,256GB,Joseph,Johnson,(491)797-9283x79809,kennedycheyenne@example.com,Courtney Morgan,Second-hand Sales,Cash,44334,N/A,Offline,High,0,950,12716,0,474,749,11127,15794
Africa,Egypt,Luxor,GH PC Shop,1,MSI,GS66 Stealth,HDD,4GB,500GB,Melissa,Alvarado,012.362.9045x81462,heatherpadilla@example.org,Diana Owens,Returns,Finance,44387,N/A,Offline,Low,0,723,31743,21943,488,415,29653,32783
Africa,Botswana,North-East,Jacks Hardware,4,Toshiba,Libretto,SSD,16GB,500GB,Aaron,Roach,+1-619-643-5598x554,ericsampson@example.com,Justin Schroeder,New Sales,Finance,45158,N/A,Offline,High,0,299,14656,29593,430,23,12373,15196
North America,North Carolina,New Bern,Ricks Computers,5,HP,Elitebook,HDD,2GB,500GB,Patrick,Potter,+1-215-263-7572x1556,barbaravasquez@example.net,Tony Valenzuela,Repairs,Finance,44786,44801,Online,High,2381,218,5965,36766,630,950,4095,7909
North America,North Carolina,Chapel Hill,Ricks Computers,9,Lenovo,ThinkPad X1 Yoga,HDD,4GB,1TB,Jessica,Fernandez,041.657.5368x9123,mmartinez@example.net,Catherine Cuevas,Repairs,Bank Transfer,44628,N/A,Offline,Low,3420,427,14852,0,509,145,11956,16575
Africa,Botswana,North-East,ABC Computers,7,Asus,ROG Zephyrus S GX701,SSD,2GB,500GB,Margaret,Chapman,536.530.3031x499,paynesarah@example.com,Heather Singleton,Second-hand Sales,Finance,45127,45149,Online,High,0,638,7468,30794,675,374,7306,10753
Africa,Angola,Cuanza Norte,KyaSand Tech Gadgets,5,MSI,GS66 Stealth,SSD,4GB,500GB,Jesse,Davis,001-909-560-5071x843,michael72@example.net,Ruben Snow,New Sales,Finance,45289,45313,Online,Low,0,236,13511,39068,599,720,11989,15826
North America,North Carolina,Statesville,GHI Machines,8,Apple,Apple Mac Mini,HDD,2GB,1TB,James,Brown,553-831-6849,iwest@example.com,Craig Wheeler,New Sales,Cash,44467,44479,Online,High,0,498,27910,0,521,879,25361,28970
North America,Texas,Irving,XYZ Tech,4,Microsoft,Surface Book,HDD,16GB,500GB,Mark,Lutz,653-683-4160,gbush@example.com,Ashley Wright,Repairs,Finance,45134,N/A,Offline,Medium,3535,686,32172,33815,538,200,27704,32552
North America,California,San Diego,GHI Machines,10,Toshiba,Tecra,HDD,8GB,1TB,Jennifer,Lewis,1242177278,annavaughn@example.net,Rachel Mitchell,Returns,Finance,44749,N/A,Offline,High,0,451,6045,9509,780,17,5012,7134
North America,Florida,Miami Beach,Mini Tech,6,Toshiba,Tecra,SSD,2GB,500GB,Curtis,Koch,464.628.1362x76331,richard85@example.org,Raymond Larson,Second-hand Sales,Bank Transfer,44267,44292,Online,Low,0,585,20361,0,648,968,18493,20636
North America,North Carolina,Wilmington,CK Tech Store,9,MSI,GE76 Raider,SSD,4GB,256GB,James,Vega,461-731-2991,lsnyder@example.net,Brittany Franklin,Repairs,Finance,44698,44701,Online,Medium,3011,395,11390,28128,728,463,9314,12045
Africa,Morocco,Fes,Ricks Computers,3,Asus,ProArt StudioBook Pro X,SSD,4GB,256GB,Larry,Wong,+1-269-753-2112x900,christopherjohnson@example.com,Brian Johnson,Returns,Cash,44442,N/A,Offline,Medium,0,80,23685,0,559,953,21808,26239
North America,Texas,Round Rock,LJ Computers,3,MSI,Alpha 15,HDD,16GB,500GB,Wendy,Edwards,604-052-4209,ryanevan@example.com,Lauren Morales,Returns,Finance,45280,45299,Online,High,0,861,22676,47852,633,661,20693,23050
Africa,South Africa,KwaZulu-Natal,DEF Machines,8,MSI,Alpha 15,HDD,4GB,256GB,Katherine,Harrison,080-694-4816x50731,pamela70@example.com,Carol Smith,New Sales,Cash,44362,44365,Online,Medium,0,302,15097,0,548,155,15000,18086
Africa,Nigeria,Bayelsa,A & A PCs,10,MSI,Modern 15,HDD,16GB,256GB,Jodi,Daniels,001-859-568-2601x171,morrisoncathy@example.net,Jennifer Marshall,Second-hand Sales,Bank Transfer,44958,N/A,Offline,Medium,0,112,7536,0,801,73,7171,10745
Africa,Egypt,Ismailia,KyaSand Tech Gadgets,6,HP,Envy,HDD,4GB,256GB,Eddie,Robinson,625-206-5351x244,thomasthomas@example.net,Robert Hudson,New Sales,Finance,44640,N/A,Offline,High,0,811,6725,46695,767,919,3018,6779
North America,North Carolina,Winston-Salem,XYZ Tech,7,HP,Probook,HDD,4GB,256GB,Richard,Thomas,4566610025,monicacalderon@example.com,Brady Walton,Returns,Bank Transfer,45088,N/A,Offline,Low,0,566,19089,0,420,196,19051,22547
Africa,Angola,Cunene,GHI Machines,6,Microsoft,Surface Duo,HDD,2GB,1TB,Raymond,Hernandez,+1-099-330-2320x23353,fosteramanda@example.net,James Thornton,Second-hand Sales,Bank Transfer,44806,44809,Online,Low,0,585,8126,0,835,843,4378,9148
North America,Florida,Pompano Beach,A & A PCs,8,Acer,Aspire 5,HDD,16GB,1TB,Logan,Cross,001-075-441-9240x8899,robertgiles@example.net,William Macdonald,New Sales,Cash,44392,N/A,Offline,Medium,0,423,18057,0,667,946,16326,19188
Africa,Nigeria,Kwara,Jacks Hardware,3,HP,Omen,HDD,2GB,500GB,Nicole,Williams,(203)899-5719x435,kowens@example.org,Jennifer Wolf,Returns,Cash,45120,N/A,Offline,Low,0,476,6054,0,762,535,5655,10064
Africa,Botswana,Kgatleng,ABC Computers,7,Samsung,Galaxy Book S,SSD,8GB,1TB,Heather,Harrison,-5243,mariaaguirre@example.com,Heather Singleton,Returns,Finance,44530,N/A,Offline,Low,0,527,8965,5533,536,800,6631,9728
Africa,Morocco,Tiznit,Mini Tech,2,MSI,GS66 Stealth,HDD,16GB,1TB,Chelsea,Odonnell,537.320.3664x704,muellervalerie@example.com,Jessica Thomas,Second-hand Sales,Bank Transfer,44538,N/A,Offline,High,0,784,7837,0,826,857,3678,7972
Africa,Tanzania,Geita,Greens Laptops and PCs,9,Apple,Apple Lisa,HDD,4GB,1TB,Justin,Weiss,(377)357-9711x3813,jose35@example.net,Tara Price,Second-hand Sales,Bank Transfer,44865,N/A,Offline,Medium,0,915,20222,0,840,386,17853,20377
North America,Ohio,Middletown,LJ Computers,5,Apple,Apple PowerBook G4,SSD,2GB,256GB,Amber,Wilson,836.009.1723x257,shaun30@example.net,Eric James,Repairs,Cash,45007,N/A,Offline,Medium,2413,390,25878,0,800,486,23534,27926
North America,Ohio,Canton,KyaSand Tech Gadgets,2,Asus,ROG Strix Scar III,HDD,8GB,256GB,Sean,Price,976-253-6362,ronald70@example.com,Molly Johns,Returns,Finance,44908,N/A,Offline,Medium,0,382,29199,33452,636,886,26960,30082
Africa,Ethiopia,Oromia,GH PC Shop,10,Lenovo,ThinkPad X1 Carbon,HDD,16GB,500GB,Brandon,Brown,3244922614,deboraholiver@example.org,Rachel Guerrero,Second-hand Sales,Cash,44512,44515,Online,High,0,546,7897,0,758,304,6889,10026
North America,Florida,Deltona,Ricks Computers,6,MSI,Alpha 15,HDD,16GB,500GB,Tiffany,Hooper,410.595.7462,rojasmonique@example.com,Tanya Mcclure,Second-hand Sales,Cash,45166,45196,Online,Medium,0,204,18959,0,623,894,18399,21773
North America,Pennsylvania,Lebanon,XYZ Tech,6,Apple,Apple Lisa,SSD,8GB,1TB,Diana,Curry,001-993-100-2223,lancemcdonald@example.com,Leah Watts,Repairs,Cash,44769,44778,Online,High,4891,505,26300,0,658,934,24437,26689
Africa,Kenya,Bungoma,S & A Computer Place,5,Lenovo,ThinkPad X1 Carbon,SSD,8GB,500GB,Justin,Adams,+1-491-964-6350x37569,kreed@example.org,Christopher Santos,Repairs,Bank Transfer,44599,44620,Online,Medium,2449,793,23867,0,438,515,21834,26527
North America,Texas,Garland,ABC Computers,6,Apple,Apple Power Mac G5,SSD,2GB,500GB,Jacob,Lewis,001-320-730-6447x36645,patriciamoore@example.com,Ashley Wright,Second-hand Sales,Bank Transfer,44747,N/A,Offline,High,0,294,21816,0,502,796,19311,23003
North America,Texas,Midland,Western International PCs,6,Acer,Predator Helios 300,HDD,4GB,256GB,Rhonda,Ryan,(085)842-8744x50589,kphelps@example.net,Laurie Wright,Second-hand Sales,Finance,44813,N/A,Offline,Medium,0,164,15740,41700,438,189,15379,19138
Africa,Kenya,Narok,S & A Computer Place,5,Toshiba,Dynabook,SSD,2GB,1TB,Manuel,Martinez,789.299.3972x049,nicholas76@example.net,Cassandra Mcmillan,New Sales,Bank Transfer,44297,44306,Online,Medium,0,404,21873,0,534,99,21408,24182
North America,North Carolina,New Bern,Frankies Hardware and Software,1,Toshiba,Satellite,HDD,8GB,1TB,Chelsea,Lewis,261.752.7247,qortiz@example.net,Eric Hall,New Sales,Finance,44901,44913,Online,Low,0,109,14069,17979,701,914,12585,17368
North America,North Carolina,Fayetteville,Ricks Computers,2,Acer,Swift 3,SSD,4GB,256GB,Frederick,Martinez,001-189-756-7410,morsebrett@example.org,Calvin Rich,Repairs,Cash,45298,45322,Online,High,3898,744,28418,0,623,466,27863,30330
North America,Michigan,Port Huron,Frankies Hardware and Software,10,Samsung,Notebook Flash,SSD,4GB,1TB,Mary,Espinoza,(037)742-2624,carrollchelsea@example.org,Rebecca Smith,New Sales,Finance,44773,N/A,Offline,Low,0,911,10490,7262,677,450,9632,11775
Africa,Morocco,Mediouna,DEF Machines,10,Asus,ROG Zephyrus S GX701,HDD,8GB,256GB,Kimberly,Graves,732.740.2717,wblack@example.org,Justin Kemp,New Sales,Finance,44413,N/A,Offline,High,0,553,11513,15496,809,729,8163,12345
North America,Michigan,Southfield,GHI Machines,2,Samsung,Chromebook 4,SSD,4GB,256GB,Marc,Humphrey,+1-282-782-8329x49185,sgonzalez@example.com,Rebecca Smith,Repairs,Cash,44575,N/A,Offline,High,4154,126,15063,0,409,177,12588,15437
Africa,Kenya,Migori,LJ Computers,10,Toshiba,Satellite,SSD,16GB,1TB,James,Rodriguez,9081544058,smithjaime@example.org,Kenneth Moore,Repairs,Cash,44756,N/A,Offline,Medium,1600,185,24749,0,418,530,23017,27857
North America,North Carolina,Chapel Hill,Jacks Hardware,3,Samsung,Notebook 7 Spin,SSD,8GB,500GB,Adam,Lindsey,001-586-094-8205,martinlisa@example.org,Tamara Clark,Returns,Finance,45297,45310,Online,Low,0,494,30588,42476,638,417,29891,34361
